"Area_Name","Area_Code","Area_Type","Sex","Age_group","Age_band_type","Year","Population","Data_type"
"Adur","E07000223","District","Female","0-4 years","5 years","2011",1682,"Estimates - ONS"
"Adur","E07000223","District","Female","10-14 years","5 years","2011",1486,"Estimates - ONS"
"Adur","E07000223","District","Female","15-19 years","5 years","2011",1729,"Estimates - ONS"
"Adur","E07000223","District","Female","20-24 years","5 years","2011",1484,"Estimates - ONS"
"Adur","E07000223","District","Female","25-29 years","5 years","2011",1581,"Estimates - ONS"
"Adur","E07000223","District","Female","30-34 years","5 years","2011",1774,"Estimates - ONS"
"Adur","E07000223","District","Female","35-39 years","5 years","2011",2069,"Estimates - ONS"
"Adur","E07000223","District","Female","40-44 years","5 years","2011",2281,"Estimates - ONS"
"Adur","E07000223","District","Female","45-49 years","5 years","2011",2228,"Estimates - ONS"
"Adur","E07000223","District","Female","5-9 years","5 years","2011",1489,"Estimates - ONS"
"Adur","E07000223","District","Female","50-54 years","5 years","2011",2048,"Estimates - ONS"
"Adur","E07000223","District","Female","55-59 years","5 years","2011",1899,"Estimates - ONS"
"Adur","E07000223","District","Female","60-64 years","5 years","2011",2294,"Estimates - ONS"
"Adur","E07000223","District","Female","65-69 years","5 years","2011",1921,"Estimates - ONS"
"Adur","E07000223","District","Female","70-74 years","5 years","2011",1648,"Estimates - ONS"
"Adur","E07000223","District","Female","75-79 years","5 years","2011",1506,"Estimates - ONS"
"Adur","E07000223","District","Female","80-84 years","5 years","2011",1238,"Estimates - ONS"
"Adur","E07000223","District","Female","85-89 years","5 years","2011",867,"Estimates - ONS"
"Adur","E07000223","District","Female","90+ years","5 years","2011",502,"Estimates - ONS"
"Adur","E07000223","District","Male","0-4 years","5 years","2011",1892,"Estimates - ONS"
"Adur","E07000223","District","Male","10-14 years","5 years","2011",1658,"Estimates - ONS"
"Adur","E07000223","District","Male","15-19 years","5 years","2011",1857,"Estimates - ONS"
"Adur","E07000223","District","Male","20-24 years","5 years","2011",1468,"Estimates - ONS"
"Adur","E07000223","District","Male","25-29 years","5 years","2011",1555,"Estimates - ONS"
"Adur","E07000223","District","Male","30-34 years","5 years","2011",1608,"Estimates - ONS"
"Adur","E07000223","District","Male","35-39 years","5 years","2011",1828,"Estimates - ONS"
"Adur","E07000223","District","Male","40-44 years","5 years","2011",2250,"Estimates - ONS"
"Adur","E07000223","District","Male","45-49 years","5 years","2011",2255,"Estimates - ONS"
"Adur","E07000223","District","Male","5-9 years","5 years","2011",1637,"Estimates - ONS"
"Adur","E07000223","District","Male","50-54 years","5 years","2011",1970,"Estimates - ONS"
"Adur","E07000223","District","Male","55-59 years","5 years","2011",1784,"Estimates - ONS"
"Adur","E07000223","District","Male","60-64 years","5 years","2011",1977,"Estimates - ONS"
"Adur","E07000223","District","Male","65-69 years","5 years","2011",1837,"Estimates - ONS"
"Adur","E07000223","District","Male","70-74 years","5 years","2011",1347,"Estimates - ONS"
"Adur","E07000223","District","Male","75-79 years","5 years","2011",1119,"Estimates - ONS"
"Adur","E07000223","District","Male","80-84 years","5 years","2011",848,"Estimates - ONS"
"Adur","E07000223","District","Male","85-89 years","5 years","2011",502,"Estimates - ONS"
"Adur","E07000223","District","Male","90+ years","5 years","2011",216,"Estimates - ONS"
"Arun","E07000224","District","Female","0-4 years","5 years","2011",3600,"Estimates - ONS"
"Arun","E07000224","District","Female","10-14 years","5 years","2011",3577,"Estimates - ONS"
"Arun","E07000224","District","Female","15-19 years","5 years","2011",3856,"Estimates - ONS"
"Arun","E07000224","District","Female","20-24 years","5 years","2011",3743,"Estimates - ONS"
"Arun","E07000224","District","Female","25-29 years","5 years","2011",3628,"Estimates - ONS"
"Arun","E07000224","District","Female","30-34 years","5 years","2011",3738,"Estimates - ONS"
"Arun","E07000224","District","Female","35-39 years","5 years","2011",4166,"Estimates - ONS"
"Arun","E07000224","District","Female","40-44 years","5 years","2011",5178,"Estimates - ONS"
"Arun","E07000224","District","Female","45-49 years","5 years","2011",5413,"Estimates - ONS"
"Arun","E07000224","District","Female","5-9 years","5 years","2011",3426,"Estimates - ONS"
"Arun","E07000224","District","Female","50-54 years","5 years","2011",4941,"Estimates - ONS"
"Arun","E07000224","District","Female","55-59 years","5 years","2011",4750,"Estimates - ONS"
"Arun","E07000224","District","Female","60-64 years","5 years","2011",5981,"Estimates - ONS"
"Arun","E07000224","District","Female","65-69 years","5 years","2011",5463,"Estimates - ONS"
"Arun","E07000224","District","Female","70-74 years","5 years","2011",4808,"Estimates - ONS"
"Arun","E07000224","District","Female","75-79 years","5 years","2011",4152,"Estimates - ONS"
"Arun","E07000224","District","Female","80-84 years","5 years","2011",3488,"Estimates - ONS"
"Arun","E07000224","District","Female","85-89 years","5 years","2011",2654,"Estimates - ONS"
"Arun","E07000224","District","Female","90+ years","5 years","2011",1759,"Estimates - ONS"
"Arun","E07000224","District","Male","0-4 years","5 years","2011",3899,"Estimates - ONS"
"Arun","E07000224","District","Male","10-14 years","5 years","2011",3819,"Estimates - ONS"
"Arun","E07000224","District","Male","15-19 years","5 years","2011",4060,"Estimates - ONS"
